mexico freed us marine reservist sgt|us|,墨西哥,释放,我们,海洋,预备役,上士|我们|我们|pronoun|我们|我们|我们(pronoun)+|
we may not have him physically but in our hearts he will never die|die|我们,不,可能,让,他,身体,上,，,但,在,我们,的,心中,，,他,将,永远,不,会,死|死|死|verb|死|死|死(verb)+冲模(verb)+长眠(verb)+踹腿儿(verb)+辞世(verb)+殂(verb)+故(verb)+没命(verb)+没(verb)+殁(verb)+歾(verb)+漠然(verb)+气绝(verb)+弃世(verb)+去世(verb)+不讳(verb)+逝(verb)+逝世(verb)+亡(verb)+呜呼(verb)+谢世(verb)+咽气(verb)+硬模(verb)+陨(verb)+殒(verb)+陨灭(verb)+殒灭(verb)+殒命(verb)+卒(verb)+作古(verb)+身故(verb)+压模(noun)+薨(noun)+|
he has been an amazing husband and an amazing father to his two children she said|husband|他,已,令,人,惊异,的,丈夫,和,令人惊异,的,父亲,对,他,的,两,个,孩子,她,说|丈夫|丈夫|noun|丈夫|丈夫|丈夫(noun)+夫(noun)+爱人(noun)+老伴儿(noun)+男人(noun)+婿(noun)+爷们(noun)+撙(verb)+撙节(verb)+|
he has been an amazing husband and an amazing father to his two children she said|father|他,已,令,人,惊异,的,丈夫,和,令人惊异,的,父亲,对,他,的,两,个,孩子,她,说|父亲|父亲|noun|父亲|父亲|父亲(noun)+父(noun)+爸爸(noun)+爸(noun)+爹(noun)+老子(noun)+前辈(noun)+翁(noun)+爷(noun)+长辈(noun)+产生(verb)+发明(verb)+引起(verb)+|
he has been an amazing husband and an amazing father to his two children she said|two|他,已,令,人,惊异,的,丈夫,和,令人惊异,的,父亲,对,他,的,两,个,孩子,她,说|||CD||二|二()+双()+贰(noun)+|
yolande and pierre korkie were kidnapped in yemens taiz province in may of last year the nongovernmental organization gift of the givers said|province|yolande,和,皮埃尔,korkie,在,五月份,的,最后,一,年,的,非政府,组织,的,礼物,送礼者,说,也门,塔伊兹,省,遭,绑架|省|省|noun|省|省|省(noun)+省份(noun)+领域(noun)+州(noun)+|
yolande and pierre korkie were kidnapped in yemens taiz province in may of last year the nongovernmental organization gift of the givers said|last|yolande,和,皮埃尔,korkie,在,五月份,的,最后,一,年,的,非政府,组织,的,礼物,送礼者,说,也门,塔伊兹,省,遭,绑架|最后|最后|adjective|最后|持续|持续(verb)+延续(verb)+历时(verb)+最后(adjective)+上(adjective)+上个(adjective)+最后(adverb)+在大家之后(adverb)+末(noun)+底(noun)+剩余(noun)+|
yolande and pierre korkie were kidnapped in yemens taiz province in may of last year the nongovernmental organization gift of the givers said|year|yolande,和,皮埃尔,korkie,在,五月份,的,最后,一,年,的,非政府,组织,的,礼物,送礼者,说,也门,塔伊兹,省,遭,绑架|年|年|noun|年|年|年(noun)+年度(noun)+岁(noun)+春秋(noun)+年头(noun)+秋(noun)+|
yolande and pierre korkie were kidnapped in yemens taiz province in may of last year the nongovernmental organization gift of the givers said|organization|yolande,和,皮埃尔,korkie,在,五月份,的,最后,一,年,的,非政府,组织,的,礼物,送礼者,说,也门,塔伊兹,省,遭,绑架|组织|组织|noun|组织|组织|组织(noun)+机构(noun)+公家(noun)+体制(noun)+团(noun)+团体(noun)+学会(noun)+|
yolande and pierre korkie were kidnapped in yemens taiz province in may of last year the nongovernmental organization gift of the givers said|gift|yolande,和,皮埃尔,korkie,在,五月份,的,最后,一,年,的,非政府,组织,的,礼物,送礼者,说,也门,塔伊兹,省,遭,绑架|礼物|礼物|noun|礼品|礼品|礼品(noun)+礼物(noun)+礼(noun)+才(noun)+赋予(noun)+天才(noun)+仪(noun)+赐(verb)+|
a korean air executive has resigned from some of her duties after she ordered a flight to be turned around to the gate and a flight attendant off the plane|air|大韩,航空,执行,已,辞去,一些,她,的,职责,是,她,命令,一,次,飞行,，,转过,身,来,向,大门口,和,一,名,空姐,走下,飞机,后|空|空姐|noun|空气|空气|空气(noun)+气(noun)+空(noun)+调(noun)+劲(noun)+气态(noun)+神气(noun)+样子(noun)+晾(verb)+曝(verb)+通风(verb)+|
a korean air executive has resigned from some of her duties after she ordered a flight to be turned around to the gate and a flight attendant off the plane|executive|大韩,航空,执行,已,辞去,一些,她,的,职责,是,她,命令,一,次,飞行,，,转过,身,来,向,大门口,和,一,名,空姐,走下,飞机,后|||noun|管理人|管理人|管理人(noun)+行政权(noun)+执行机构(noun)+管理的(adjective)+政府的(adjective)+执行的(adjective)+总统的(adjective)+|
a korean air executive has resigned from some of her duties after she ordered a flight to be turned around to the gate and a flight attendant off the plane|some|大韩,航空,执行,已,辞去,一些,她,的,职责,是,她,命令,一,次,飞行,，,转过,身,来,向,大门口,和,一,名,空姐,走下,飞机,后|一些|一些|DT||一些|一些(adjective)+有些(adjective)+某些(adjective)+几个(adjective)+有的(adjective)+几(adjective)+俩(adjective)+两(adjective)+某(adjective)+些(adjective)+一些(adverb)+一些(pronoun)+|
a korean air executive has resigned from some of her duties after she ordered a flight to be turned around to the gate and a flight attendant off the plane|after|大韩,航空,执行,已,辞去,一些,她,的,职责,是,她,命令,一,次,飞行,，,转过,身,来,向,大门口,和,一,名,空姐,走下,飞机,后|后|后|preposition|之后|后|后(adverb)+以后(adverb)+后面(adverb)+之后(preposition)+经过(preposition)+以后(preposition)+经(preposition)+余(preposition)+以后的(adjective)+接着(conjunction)+然后(conjunction)+随之而后(conjunction)+|
a korean air executive has resigned from some of her duties after she ordered a flight to be turned around to the gate and a flight attendant off the plane|flight|大韩,航空,执行,已,辞去,一些,她,的,职责,是,她,命令,一,次,飞行,，,转过,身,来,向,大门口,和,一,名,空姐,走下,飞机,后|飞行|飞行|noun|飞行|飞行|飞行(noun)+航班(noun)+航程(noun)+溃逃(noun)+溃逃(verb)+|
a korean air executive has resigned from some of her duties after she ordered a flight to be turned around to the gate and a flight attendant off the plane|around|大韩,航空,执行,已,辞去,一些,她,的,职责,是,她,命令,一,次,飞行,，,转过,身,来,向,大门口,和,一,名,空姐,走下,飞机,后|||RP||周围|周围(adverb)+围绕(adverb)+左右(adverb)+光景(adverb)+靠(adverb)+靠近(adverb)+四处(preposition)+在 ... 周围(preposition)+|
a korean air executive has resigned from some of her duties after she ordered a flight to be turned around to the gate and a flight attendant off the plane|gate|大韩,航空,执行,已,辞去,一些,她,的,职责,是,她,命令,一,次,飞行,，,转过,身,来,向,大门口,和,一,名,空姐,走下,飞机,后|大门|大门口|noun|门|门|门(noun)+大门(noun)+门口(noun)+出入口(noun)+登机口(noun)+闸板(noun)+闸阀(noun)+|
a korean air executive has resigned from some of her duties after she ordered a flight to be turned around to the gate and a flight attendant off the plane|flight|大韩,航空,执行,已,辞去,一些,她,的,职责,是,她,命令,一,次,飞行,，,转过,身,来,向,大门口,和,一,名,空姐,走下,飞机,后|飞行|飞行|noun|飞行|飞行|飞行(noun)+航班(noun)+航程(noun)+溃逃(noun)+溃逃(verb)+|
a korean air executive has resigned from some of her duties after she ordered a flight to be turned around to the gate and a flight attendant off the plane|off|大韩,航空,执行,已,辞去,一些,她,的,职责,是,她,命令,一,次,飞行,，,转过,身,来,向,大门口,和,一,名,空姐,走下,飞机,后|||preposition|离|离|离(preposition)+离去(preposition)+空闲的(adjective)+饐(adjective)+右(adjective)+隔断(adverb)+|
a korean air executive has resigned from some of her duties after she ordered a flight to be turned around to the gate and a flight attendant off the plane|plane|大韩,航空,执行,已,辞去,一些,她,的,职责,是,她,命令,一,次,飞行,，,转过,身,来,向,大门口,和,一,名,空姐,走下,飞机,后|机|飞机|noun|机|机|机(noun)+班机(noun)+刨(noun)+刨子(noun)+飞艇(noun)+镘(noun)+镘子(noun)+平原(noun)+水平面(noun)+翼面(noun)+平的(adjective)+刨(verb)+乘飞机旅行(verb)+翥(verb)+|
because she was served nuts in a bag instead of on a plate|because|因为,她,曾,在,一,个,袋子,里,，,而,不,是,在,一,个,盘子,上,的,螺母|||preposition||因为|因为(conjunction)+因(conjunction)+以(conjunction)+|
because she was served nuts in a bag instead of on a plate|bag|因为,她,曾,在,一,个,袋子,里,，,而,不,是,在,一,个,盘子,上,的,螺母|袋子|袋子|noun|袋|袋|袋(noun)+包(noun)+袋子(noun)+囊(noun)+兜(noun)+兜子(noun)+猎获(noun)+手提包(noun)+提包(noun)+葙子(noun)+|
because she was served nuts in a bag instead of on a plate|instead|因为,她,曾,在,一,个,袋子,里,，,而,不,是,在,一,个,盘子,上,的,螺母|||adverb|代替|代替|代替(adverb)+反而(adverb)+抵作(adverb)+顶(adverb)+反(adverb)+|
because she was served nuts in a bag instead of on a plate|plate|因为,她,曾,在,一,个,袋子,里,，,而,不,是,在,一,个,盘子,上,的,螺母|盘子|盘子|noun|盘|盘|盘(noun)+插画(noun)+插图(noun)+碟(noun)+金属板(noun)+牌(noun)+牌子(noun)+柈(noun)+盘子(noun)+图版(noun)+镶板(noun)+镀(verb)+镀金(verb)+鋈(verb)+|
heather cho whose korean name is cho hyun-ah resigned tuesday from the airlines catering and in-flight sales business|whose|韩国,的,名字,是,赵玄,石南,花,cho,-,啊,辞职,星期二,从,餐饮,的,航空,公司,和,航空,销售,业务|||pronoun|谁|谁|谁(pronoun)+|
heather cho whose korean name is cho hyun-ah resigned tuesday from the airlines catering and in-flight sales business|name|韩国,的,名字,是,赵玄,石南,花,cho,-,啊,辞职,星期二,从,餐饮,的,航空,公司,和,航空,销售,业务|名字|名字|noun|名称|名称|名称(noun)+名(noun)+名字(noun)+名义(noun)+称号(noun)+号(noun)+姓(noun)+命名(verb)+称(verb)+称说(verb)+定名(verb)+起名儿(verb)+谥(verb)+谓(verb)+曰(verb)+指名(verb)+指派(verb)+|
heather cho whose korean name is cho hyun-ah resigned tuesday from the airlines catering and in-flight sales business|business|韩国,的,名字,是,赵玄,石南,花,cho,-,啊,辞职,星期二,从,餐饮,的,航空,公司,和,航空,销售,业务|业务|业务|noun|商业|商业|商业(noun)+业务(noun)+商(noun)+生意(noun)+勾(noun)+行业(noun)+买卖(noun)+事(noun)+市面(noun)+事情(noun)+事儿(noun)+务(noun)+业(noun)+做功(noun)+|
and its cabin service and hotel business divisions an airline spokesman said|cabin|和,一,位,航空,公司,发言人,说,其,客舱,服务,和,酒店,业务,部门|客舱|客舱|noun|舱|舱|舱(noun)+客舱(noun)+机舱(noun)+小屋(noun)+舱室(noun)+座舱(noun)+仓(noun)+禁闭(verb)+|
and its cabin service and hotel business divisions an airline spokesman said|service|和,一,位,航空,公司,发言人,说,其,客舱,服务,和,酒店,业务,部门|服务|服务|noun|服务|服务|服务(noun)+服侍(noun)+服役(noun)+功(noun)+雇佣(noun)+劳务(noun)+勤务(noun)+送达(noun)+役(noun)+营运(noun)+服务(verb)+维修(verb)+招待(verb)+兵的(adjective)+军事的(adjective)+|
and its cabin service and hotel business divisions an airline spokesman said|hotel|和,一,位,航空,公司,发言人,说,其,客舱,服务,和,酒店,业务,部门|||noun|饭店|饭店|饭店(noun)+旅馆(noun)+|
and its cabin service and hotel business divisions an airline spokesman said|business|和,一,位,航空,公司,发言人,说,其,客舱,服务,和,酒店,业务,部门|业务|业务|noun|商业|商业|商业(noun)+业务(noun)+商(noun)+生意(noun)+勾(noun)+行业(noun)+买卖(noun)+事(noun)+市面(noun)+事情(noun)+事儿(noun)+务(noun)+业(noun)+做功(noun)+|
and its cabin service and hotel business divisions an airline spokesman said|airline|和,一,位,航空,公司,发言人,说,其,客舱,服务,和,酒店,业务,部门|航空公司||noun|航空公司|航空公司|航空公司(noun)+航线(noun)+航空线(noun)+空中航线(noun)+|
and its cabin service and hotel business divisions an airline spokesman said|spokesman|和,一,位,航空,公司,发言人,说,其,客舱,服务,和,酒店,业务,部门|发言人|发言人|noun|发言人|发言人|发言人(noun)+演说者(noun)+扬声器(noun)+议长(noun)+|
but she is keeping her title as a vice president of the national carrier he said|but|但,她,保持,她,的,头衔,作为,国家,航空,公司,说,，,他,的,副总统|||CC||但|但(conjunction)+但是(conjunction)+不过(conjunction)+而(conjunction)+然而(conjunction)+可是(conjunction)+却(conjunction)+可(conjunction)+然(conjunction)+只(conjunction)+只是(conjunction)+惟(adverb)+任何人(pronoun)+答辩(noun)+除 ... 以外(preposition)+|
but she is keeping her title as a vice president of the national carrier he said|title|但,她,保持,她,的,头衔,作为,国家,航空,公司,说,，,他,的,副总统|头衔|头衔|noun|标题|标题|标题(noun)+称号(noun)+冠军(noun)+题(noun)+头衔(noun)+称谓(noun)+封号(noun)+锦标(noun)+衔(noun)+同名的(adjective)+赋予头衔(verb)+给 ... 题名(verb)+|
but she is keeping her title as a vice president of the national carrier he said|vice|但,她,保持,她,的,头衔,作为,国家,航空,公司,说,，,他,的,副总统|||noun|恶|恶|恶(noun)+虎头钳(noun)+坏脾气(noun)+钳住(noun)+瑕(noun)+瑕疵(noun)+邪路(noun)+|
but she is keeping her title as a vice president of the national carrier he said|president|但,她,保持,她,的,头衔,作为,国家,航空,公司,说,，,他,的,副总统|总统|副总统|noun|主席|主席|主席(noun)+总统(noun)+校长(noun)+议长(noun)+总会会长(noun)+|
but she is keeping her title as a vice president of the national carrier he said|national|但,她,保持,她,的,头衔,作为,国家,航空,公司,说,，,他,的,副总统|国|国家|adjective|国民|国民|国民(adjective)+国(adjective)+国立(adjective)+全国性(adjective)+民族的(adjective)+公民(noun)+|
but she is keeping her title as a vice president of the national carrier he said|carrier|但,她,保持,她,的,头衔,作为,国家,航空,公司,说,，,他,的,副总统|||noun|带病体|带病体|带病体(noun)+带菌者(noun)+邮务士(noun)+运送者(noun)+支架(noun)+|
as for the next steps the spokesman told cnn there is an investigation going on so we will have to see|next|关于,今后,的,步骤,发言人,告诉,cnn,还有,调查,继续,下去,，,所以,我们,要,看看|下|下去|adjective|下|下|下(adjective)+未来(adjective)+下面(adjective)+底下(adjective)+明(adjective)+下边(adjective)+下一次(adjective)+下一个(adjective)+翌(adjective)+然后(adverb)+其次(adverb)+下一次(adverb)+比邻(preposition)+|
as for the next steps the spokesman told cnn there is an investigation going on so we will have to see|spokesman|关于,今后,的,步骤,发言人,告诉,cnn,还有,调查,继续,下去,，,所以,我们,要,看看|发言人|发言人|noun|发言人|发言人|发言人(noun)+演说者(noun)+扬声器(noun)+议长(noun)+|
as for the next steps the spokesman told cnn there is an investigation going on so we will have to see|there|关于,今后,的,步骤,发言人,告诉,cnn,还有,调查,继续,下去,，,所以,我们,要,看看|||EX||那里|那里(adverb)+那边(adverb)+那儿(adverb)+往那里(adverb)+|
as for the next steps the spokesman told cnn there is an investigation going on so we will have to see|we|关于,今后,的,步骤,发言人,告诉,cnn,还有,调查,继续,下去,，,所以,我们,要,看看|我们|我们|pronoun|我们|我们|我们(pronoun)+咱(pronoun)+咱们(pronoun)+朕(pronoun)+|
as for the next steps the spokesman told cnn there is an investigation going on so we will have to see|have|关于,今后,的,步骤,发言人,告诉,cnn,还有,调查,继续,下去,，,所以,我们,要,看看|有|还有|verb|有|有|有(verb)+具有(verb)+拥有(verb)+具备(verb)+抱有(verb)+带有(verb)+含有(verb)+喝(verb)+所有(verb)+拥(verb)+有着(verb)+占有(verb)+|
as for the next steps the spokesman told cnn there is an investigation going on so we will have to see|see|关于,今后,的,步骤,发言人,告诉,cnn,还有,调查,继续,下去,，,所以,我们,要,看看|看|看看|verb|看到|看到|看到(verb)+见(verb)+看(verb)+看见(verb)+瞅见(verb)+睹(verb)+觏(verb)+会(verb)+见面(verb)+瞅(verb)+看望(verb)+览(verb)+领会(verb)+瞧见(verb)+询(verb)+应付(verb)+看出(verb)+高桌(noun)+供桌(noun)+|
the most annoying type of airline passenger is|most|最,令,人,讨厌,的,航空,公司,乘客,类型,是|||adverb|非常|最|最(adjective)+多数(adjective)+最为(adjective)+最多(adjective)+大多(adjective)+顶(adjective)+多半(adjective)+泰(adjective)+特大(adjective)+大多数(noun)+大部分(noun)+非常(adverb)+极其(adverb)+绝(adverb)+|
the most annoying type of airline passenger is|type|最,令,人,讨厌,的,航空,公司,乘客,类型,是|类型|类型|noun|类型|类型|类型(noun)+型(noun)+式(noun)+型号(noun)+类(noun)+范畴(noun)+活字(noun)+机型(noun)+铅字(noun)+式样(noun)+试样(noun)+树种(noun)+样(noun)+样式(noun)+种(noun)+类(verb)+打字(verb)+|
the most annoying type of airline passenger is|airline|最,令,人,讨厌,的,航空,公司,乘客,类型,是|航空公司||noun|航空公司|航空公司|航空公司(noun)+航线(noun)+航空线(noun)+空中航线(noun)+|
the most annoying type of airline passenger is|passenger|最,令,人,讨厌,的,航空,公司,乘客,类型,是|乘客|乘客|noun|乘客|乘客|乘客(noun)+旅客(noun)+客(noun)+搭客(noun)+客人(noun)+|
the incident occurred friday at new yorks jfk airport on a flight due to take off for south koreas incheon international airport outside seoul|incident|事件,发生,在,新,纽约,肯尼迪,机场,由于,航班,上,周五,外,首尔,韩国,仁川,国际,机场,起飞|||noun|事件|事件|事件(noun)+事变(noun)+事端(noun)+附带的(adjective)+|
the incident occurred friday at new yorks jfk airport on a flight due to take off for south koreas incheon international airport outside seoul|new|事件,发生,在,新,纽约,肯尼迪,机场,由于,航班,上,周五,外,首尔,韩国,仁川,国际,机场,起飞|新|新|adjective|新|新|新(adjective)+耗(adjective)+新奇(adjective)+新任(adjective)+新兴(adjective)+新颖(adjective)+异(adjective)+|
the incident occurred friday at new yorks jfk airport on a flight due to take off for south koreas incheon international airport outside seoul|airport|事件,发生,在,新,纽约,肯尼迪,机场,由于,航班,上,周五,外,首尔,韩国,仁川,国际,机场,起飞|机场|机场|noun|机场|机场|机场(noun)+飞机场(noun)+航空站(noun)+|
the incident occurred friday at new yorks jfk airport on a flight due to take off for south koreas incheon international airport outside seoul|flight|事件,发生,在,新,纽约,肯尼迪,机场,由于,航班,上,周五,外,首尔,韩国,仁川,国际,机场,起飞|航班|航班|noun|飞行|飞行|飞行(noun)+航班(noun)+航程(noun)+溃逃(noun)+溃逃(verb)+|
the incident occurred friday at new yorks jfk airport on a flight due to take off for south koreas incheon international airport outside seoul|due|事件,发生,在,新,纽约,肯尼迪,机场,由于,航班,上,周五,外,首尔,韩国,仁川,国际,机场,起飞|||adjective|应得|整整|整整(adverb)+应得(adjective)+应有(adjective)+会费(noun)+|
the incident occurred friday at new yorks jfk airport on a flight due to take off for south koreas incheon international airport outside seoul|take|事件,发生,在,新,纽约,肯尼迪,机场,由于,航班,上,周五,外,首尔,韩国,仁川,国际,机场,起飞|||verb|采取|采取|采取(verb)+取(verb)+拿(verb)+吃(verb)+搭(verb)+当(verb)+当成(verb)+服(verb)+感染(verb)+攻克(verb)+攻下(verb)+花费(verb)+进(verb)+买(verb)+拏(verb)+挐(verb)+竦(verb)+吞(verb)+吞服(verb)+用(verb)+摘(verb)+留(verb)+|
the incident occurred friday at new yorks jfk airport on a flight due to take off for south koreas incheon international airport outside seoul|off|事件,发生,在,新,纽约,肯尼迪,机场,由于,航班,上,周五,外,首尔,韩国,仁川,国际,机场,起飞|||RP||离|离(preposition)+离去(preposition)+空闲的(adjective)+饐(adjective)+右(adjective)+隔断(adverb)+|
the incident occurred friday at new yorks jfk airport on a flight due to take off for south koreas incheon international airport outside seoul|south|事件,发生,在,新,纽约,肯尼迪,机场,由于,航班,上,周五,外,首尔,韩国,仁川,国际,机场,起飞|||adjective|南|南|南(adjective)+南方的(adjective)+南(noun)+南方(noun)+南面(noun)+|
the incident occurred friday at new yorks jfk airport on a flight due to take off for south koreas incheon international airport outside seoul|international|事件,发生,在,新,纽约,肯尼迪,机场,由于,航班,上,周五,外,首尔,韩国,仁川,国际,机场,起飞|||adjective|国际的|国际的|国际的(adjective)+|
the incident occurred friday at new yorks jfk airport on a flight due to take off for south koreas incheon international airport outside seoul|airport|事件,发生,在,新,纽约,肯尼迪,机场,由于,航班,上,周五,外,首尔,韩国,仁川,国际,机场,起飞|机场|机场|noun|机场|机场|机场(noun)+飞机场(noun)+航空站(noun)+|
the incident occurred friday at new yorks jfk airport on a flight due to take off for south koreas incheon international airport outside seoul|outside|事件,发生,在,新,纽约,肯尼迪,机场,由于,航班,上,周五,外,首尔,韩国,仁川,国际,机场,起飞|外|外|preposition|以外|外|外(adjective)+以外(adjective)+表面的(adjective)+以外(preposition)+外面(preposition)+外边(preposition)+外面(adverb)+外边(adverb)+外表(adverb)+外来(adverb)+向外(adverb)+表面(noun)+面(noun)+面子(noun)+面儿(noun)+|
improperly served nuts force plane delay|force|坚果,部队,飞机,延迟,送达,不当|部队|部队|verb|迫使|力|力(noun)+部队(noun)+力量(noun)+武力(noun)+动力(noun)+暴力(noun)+兵(noun)+旅(noun)+强(noun)+势(noun)+势力(noun)+威武(noun)+迫使(verb)+强迫(verb)+强行(verb)+逼(verb)+迫(verb)+逼勒(verb)+逼迫(verb)+憋(verb)+勒(verb)+勒逼(verb)+强加(verb)+搜索枯肠(verb)+胁(verb)+胁迫(verb)+要(verb)+|
improperly served nuts force plane delay|plane|坚果,部队,飞机,延迟,送达,不当|机|飞机|noun|机|机|机(noun)+班机(noun)+刨(noun)+刨子(noun)+飞艇(noun)+镘(noun)+镘子(noun)+平原(noun)+水平面(noun)+翼面(noun)+平的(adjective)+刨(verb)+乘飞机旅行(verb)+翥(verb)+|
improperly served nuts force plane delay|delay|坚果,部队,飞机,延迟,送达,不当|延迟|延迟|noun|耽搁|延迟|延迟(verb)+拖延(verb)+耽误(verb)+迟延(verb)+耽(verb)+耽搁(verb)+废弃(verb)+缓(verb)+缓服兵役(verb)+羁(verb)+迟误(verb)+磨(verb)+愆期(verb)+拖(verb)+延(verb)+延期(verb)+滞留(verb)+稽流(verb)+耽搁(noun)+缓(noun)+磨(noun)+|
cho reportedly demanded that the plane go back to the gate|plane|cho,据说,要求,飞机,走到,门口|机|飞机|noun|机|机|机(noun)+班机(noun)+刨(noun)+刨子(noun)+飞艇(noun)+镘(noun)+镘子(noun)+平原(noun)+水平面(noun)+翼面(noun)+平的(adjective)+刨(verb)+乘飞机旅行(verb)+翥(verb)+|
cho reportedly demanded that the plane go back to the gate|go|cho,据说,要求,飞机,走到,门口|走|走到|verb|去|去|去(verb)+走(verb)+前往(verb)+从事(verb)+徂(verb)+赴(verb)+离去(verb)+适(verb)+行(verb)+诣(verb)+游(verb)+去(noun)+进行(noun)+|
cho reportedly demanded that the plane go back to the gate|back|cho,据说,要求,飞机,走到,门口|||adverb|向后|背面|背面(noun)+后(noun)+后面(noun)+后边(noun)+后部(noun)+后身(noun)+脊(noun)+脊背(noun)+腰(noun)+腰杆子(noun)+向后(adverb)+以前(adverb)+后边的(adjective)+后部的(adjective)+后的(adjective)+后面的(adjective)+赌钱(verb)+冀(verb)+襄(verb)+翊(verb)+支持(verb)+|
cho reportedly demanded that the plane go back to the gate|gate|cho,据说,要求,飞机,走到,门口|门口|门口|noun|门|门|门(noun)+大门(noun)+门口(noun)+出入口(noun)+登机口(noun)+闸板(noun)+闸阀(noun)+|
so the crew member who served her macadamia nuts out of a bag rather than on a plate in first class could be kicked off the flight|crew|所以,船员,担任,她的,坚果,从,袋子,里,，,而,不,是,一,个,钢板,在,头等舱,可以,拉开,飞行|船员|船员|noun|船员|船员|船员(noun)+人员(noun)+班组(noun)+队(noun)+全体人员(noun)+|
so the crew member who served her macadamia nuts out of a bag rather than on a plate in first class could be kicked off the flight|member|所以,船员,担任,她的,坚果,从,袋子,里,，,而,不,是,一,个,钢板,在,头等舱,可以,拉开,飞行|员|船员|noun|会员|会员|会员(noun)+成员(noun)+构件(noun)+员(noun)+分子(noun)+团员(noun)+|
so the crew member who served her macadamia nuts out of a bag rather than on a plate in first class could be kicked off the flight|who|所以,船员,担任,她的,坚果,从,袋子,里,，,而,不,是,一,个,钢板,在,头等舱,可以,拉开,飞行|||pronoun|谁|谁|谁(pronoun)+何人(pronoun)+孰(pronoun)+|
so the crew member who served her macadamia nuts out of a bag rather than on a plate in first class could be kicked off the flight|bag|所以,船员,担任,她的,坚果,从,袋子,里,，,而,不,是,一,个,钢板,在,头等舱,可以,拉开,飞行|袋子|袋子|noun|袋|袋|袋(noun)+包(noun)+袋子(noun)+囊(noun)+兜(noun)+兜子(noun)+猎获(noun)+手提包(noun)+提包(noun)+葙子(noun)+|
so the crew member who served her macadamia nuts out of a bag rather than on a plate in first class could be kicked off the flight|rather|所以,船员,担任,她的,坚果,从,袋子,里,，,而,不,是,一,个,钢板,在,头等舱,可以,拉开,飞行|||adverb|比较|比较|比较(adverb)+够(adverb)+几分(adverb)+较(adverb)+宁可(adverb)+宁(adverb)+宁愿(adverb)+颇(adverb)+挺(adverb)+未免(adverb)+憖(adverb)+|
so the crew member who served her macadamia nuts out of a bag rather than on a plate in first class could be kicked off the flight|plate|所以,船员,担任,她的,坚果,从,袋子,里,，,而,不,是,一,个,钢板,在,头等舱,可以,拉开,飞行|||noun|盘|盘|盘(noun)+插画(noun)+插图(noun)+碟(noun)+金属板(noun)+牌(noun)+牌子(noun)+柈(noun)+盘子(noun)+图版(noun)+镶板(noun)+镀(verb)+镀金(verb)+鋈(verb)+|
so the crew member who served her macadamia nuts out of a bag rather than on a plate in first class could be kicked off the flight|first|所以,船员,担任,她的,坚果,从,袋子,里,，,而,不,是,一,个,钢板,在,头等舱,可以,拉开,飞行|头|头等舱|adjective|第一|第一|第一(adjective)+首先(adjective)+首(adjective)+初(adjective)+第一个(adjective)+首要的(adjective)+头(adjective)+元(adjective)+原始(adjective)+最初(adjective)+第一()+先()+第一次()+甲()+一次()+上()+上个()+首次(adverb)+初(adverb)+憖(adverb)+乍(adverb)+开端(noun)+开始(noun)+起点(noun)+一日(noun)+|
so the crew member who served her macadamia nuts out of a bag rather than on a plate in first class could be kicked off the flight|class|所以,船员,担任,她的,坚果,从,袋子,里,，,而,不,是,一,个,钢板,在,头等舱,可以,拉开,飞行|等|头等舱|noun|类|类|类(noun)+班(noun)+阶级(noun)+班级(noun)+课(noun)+般(noun)+畴(noun)+等(noun)+汇(noun)+课业(noun)+类型(noun)+流(noun)+品(noun)+品级(noun)+学级(noun)+种类(noun)+课时(noun)+类(verb)+班级的(adjective)+阶级的(adjective)+种类的(adjective)+|
so the crew member who served her macadamia nuts out of a bag rather than on a plate in first class could be kicked off the flight|off|所以,船员,担任,她的,坚果,从,袋子,里,，,而,不,是,一,个,钢板,在,头等舱,可以,拉开,飞行|||RP||离|离(preposition)+离去(preposition)+空闲的(adjective)+饐(adjective)+右(adjective)+隔断(adverb)+|
so the crew member who served her macadamia nuts out of a bag rather than on a plate in first class could be kicked off the flight|flight|所以,船员,担任,她的,坚果,从,袋子,里,，,而,不,是,一,个,钢板,在,头等舱,可以,拉开,飞行|飞行|飞行|noun|飞行|飞行|飞行(noun)+航班(noun)+航程(noun)+溃逃(noun)+溃逃(verb)+|
although her role put her in charge of in-flight service|although|虽然,她,的,角色,让,她,负责,空中,服务|||preposition||虽然|虽然(conjunction)+尽管(conjunction)+虽(conjunction)+顶(conjunction)+饶(conjunction)+虽说(conjunction)+|
although her role put her in charge of in-flight service|role|虽然,她,的,角色,让,她,负责,空中,服务|角色|角色|noun|角色|角色|角色(noun)+角(noun)+任务(noun)+|
although her role put her in charge of in-flight service|put|虽然,她,的,角色,让,她,负责,空中,服务|||verb|放|放|放(verb)+放置(verb)+摆(verb)+摆放(verb)+摆列(verb)+放置者(verb)+赋予(verb)+干(verb)+搁(verb)+置(verb)+置于(verb)+坐(verb)+投击(noun)+掷(noun)+|
although her role put her in charge of in-flight service|charge|虽然,她,的,角色,让,她,负责,空中,服务|||noun|收费|收费|收费(noun)+费用(noun)+冲锋(noun)+冲击(noun)+攻击(noun)+价款(noun)+进料(noun)+起电(noun)+充(verb)+驰突(verb)+冲(verb)+冲锋(verb)+冲杀(verb)+攻(verb)+记帐(verb)+控(verb)+控告(verb)+突(verb)+要价(verb)+硬说(verb)+责令(verb)+指控(verb)+|
